Symbol,Name,산업분류(중분류),cheap_mean_3y,MarketPriceProxy,Base_intrinsic,undervaluation_base,Conservative,Base,Optimistic,undervaluation_Conservative,undervaluation_Base,undervaluation_Optimistic,robust_score,final_score
A043090,더테크놀로지,도매 및 상품 중개업,0.5068949246911983,0.06394430886994083,-0.0834377968987326,-2.304851023856407,-0.0348119105672754,-0.0834377968987326,-0.1791810778644745,-1.5444098338459,-2.304851023856407,-3.802142693088119,,-0.4380078448113229
A014910,성문전자,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.4695700994134198,0.14873794665255433,-0.1850585170296784,-2.244191688769023,-0.0748706815324279,-0.1841336230997004,-0.3949130218342486,-1.5033731016021266,-2.23797341057712,-3.6550926022714907,,-0.43847245692399694
A049550,잉크테크,화학물질 및 화학제품 제조업; 의약품 제외,0.33666386629531625,0.4109004883897958,-0.4203924374720027,-2.023100359698776,-0.1680489288064646,-0.4148148467540808,-0.889687743859216,-1.4089771941255202,-2.0095262928005373,-3.1652146176453906,,-0.4385981747619746
A049960,쎌바이오텍,의료용 물질 및 의약품 제조업,0.5865899289620166,0.9284327166198721,-1.337589727041353,-2.440696458770961,-0.5431638893626147,-1.3370553214925156,-2.8678814737868827,-1.5850331204829806,-2.4401208591186965,-4.088949174720948,,-0.4389139731502801
A003620,KG모빌리티,자동차 및 트레일러 제조업,0.17853343463691598,0.8686229092432111,-0.6609221759916245,-1.7608850387879522,-0.2751058752555251,-0.671688442592075,-1.440671208161516,-1.316714966101011,-1.7732796768822094,-2.658569205153365,,-0.4389987943179277
A009830,한화솔루션,화학물질 및 화학제품 제조업; 의약품 제외,0.5302971775302908,4.534464892701138,-6.111537372159407,-2.3477968220675365,-2.4720803576946158,-6.080039943447961,-13.039885343647894,-1.5451757630043135,-2.3408505936907007,-3.875727489838422,,-0.4391904578551155
A263770,유에스티,1차 금속 제조업,0.45155377937175406,0.3022189845022657,-0.3679733719797794,-2.2175719953060087,-0.1422579400674029,-0.354740906999603,-0.7607928268784785,-1.4707114620932638,-2.1737876347637037,-3.517356175130603,,-0.43949470890592557
A314140,알피바이오,의료용 물질 및 의약품 제조업,0.6383993281910952,0.8654104463181566,-1.324622456252595,-2.5306291504662695,-0.5385527497461947,-1.326813798489913,-2.845822742259541,-1.6223090465771925,-2.5331612925806164,-4.288408123991275,,-0.43998908104433315
A200880,서연이화,자동차 및 트레일러 제조업,0.8227803007830982,2.0206807946604797,-3.714319767760802,-2.8381526550733076,-1.49645773221811,-3.714319767760802,-7.962437575126152,-1.7405710670247396,-2.8381526550733076,-4.940472733826335,,-0.4400556461304432
A060380,동양에스텍,1차 금속 제조업,0.5211959643264201,0.2212901657455943,-0.2955552456763888,-2.3356004532807537,-0.1289276138316823,-0.3005210819697408,-1.047385022213118,-1.5826179098257065,-2.358040837274414,-5.7330843586481,,-0.440082153821016
A066590,우수AMS,자동차 및 트레일러 제조업,0.28359117274920126,0.2550121119527527,-0.2401351721084958,-1.9416618303721465,-0.0993703889230585,-0.2429839765026081,-0.5211654761983971,-1.3896692912431914,-1.952833081699378,-3.04368911032334,,-0.44070296273704324
A017810,풀무원,식료품 제조업,0.28104869098957347,1.6081149803624413,-1.508980531337774,-1.938353631279323,-0.6198859143321188,-1.5191256809535836,-3.258372941846894,-1.3854736271360442,-1.944662352819572,-3.026206447695993,,-0.4409817438890101
A212560,네오오토,자동차 및 트레일러 제조업,0.6627677481755809,0.9444557819137533,-1.4890812755841911,-2.576655365026049,-0.607014946599295,-1.5028254360505968,-3.2232282960112038,-1.6427139927814292,-2.5912078308265714,-4.412788992069028,,-0.4416127354200242
