Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A424870,이뮨온시아,Optimistic,0.065,0.05,0.3,0.35,-0.007172622033400524,,0.2101923076923077
A389470,인벤티지랩,Conservative,0.095,0.04,0.2,0.2,-0.00698794158955119,-0.07464863975237385,0.3500548802612482
A389470,인벤티지랩,Base,0.08,0.05,0.25,0.25,-0.016168013894093797,-0.15966733746611467,0.3500548802612482
A389470,인벤티지랩,Optimistic,0.065,0.05,0.3,0.3,-0.03880323334582512,-0.3449940921305744,0.3500548802612482
A287840,인투셀,Conservative,0.095,0.04,0.25,0.25,-0.003973260988226122,-0.0706820666307483,0.1633173076923077
A287840,인투셀,Base,0.08,0.05,0.3,0.3,-0.008825223925771482,-0.1622437455478325,0.1633173076923077
A287840,인투셀,Optimistic,0.065,0.05,0.35,0.35,-0.020592189160133462,-0.348664900370448,0.1633173076923077
A095700,제넥신,Conservative,0.095,-0.3896638147695431,0.25,0.25,-0.00043626262388027674,0.3618039397734534,0.7448591708998549
A095700,제넥신,Base,0.08,-0.3796638147695431,0.3,0.3,-0.0005610318649212988,0.39814194015533866,0.7448591708998549
A095700,제넥신,Optimistic,0.065,-0.3696638147695431,0.35,0.35,-0.0007033415464733037,0.4395730464053836,0.7448591708998549
A072520,제넨바이오,Conservative,0.095,-0.24570173214710112,0.2,0.2,-0.00017724226586889578,0.04371713344534937,0.6743481898080954
A072520,제넨바이오,Base,0.08,-0.2357017321471011,0.25,0.25,-0.00024226710415955734,0.04846657737159536,0.6743481898080954
A072520,제넨바이오,Optimistic,0.065,-0.2257017321471011,0.3,0.3,-0.0003198530172058871,0.054029464347293436,0.6743481898080954
A127120,제이에스링크,Conservative,0.095,0.04,0.25,0.25,-0.0016751187558357872,-0.06874143065409645,0.6742596708192228
A127120,제이에스링크,Base,0.08,0.05,0.3,0.3,-0.003720696467289104,-0.16692883132098785,0.6742596708192228
A127120,제이에스링크,Optimistic,0.065,0.05,0.35,0.35,-0.008681625090341243,-0.3581131339120482,0.6742596708192228
A228760,지노믹트리,Conservative,0.095,0.04,0.2,0.2,-0.0014000575150279271,-0.2438965626522808,0.570055837768102
A228760,지노믹트리,Base,0.08,0.05,0.25,0.25,-0.003239315764938413,-0.5972337779066182,0.570055837768102
A228760,지노믹트리,Optimistic,0.065,0.05,0.3,0.3,-0.007774357835852191,-1.281134654754263,0.570055837768102
A389030,지니너스,Conservative,0.095,0.04,0.25,0.25,-0.0013299854807661347,-0.05142767872053128,0.594872349217868
A389030,지니너스,Base,0.08,0.05,0.3,0.3,-0.0029541023659324724,-0.12453559878164107,0.594872349217868
A389030,지니너스,Optimistic,0.065,0.05,0.35,0.35,-0.0068929055205091015,-0.2671877151415424,0.594872349217868
A358570,지아이이노베이션,Conservative,0.095,-0.22550974090892162,0.25,0.25,-0.002610105720777661,0.14001039480163885,0.28470995101596513
A358570,지아이이노베이션,Base,0.08,-0.2155097409089216,0.3,0.3,-0.003440965925542143,0.1552616547632412,0.28470995101596513
A358570,지아이이노베이션,Optimistic,0.065,-0.2055097409089216,0.35,0.35,-0.0044413712385063505,0.17324241282236644,0.28470995101596513
A109820,진매트릭스,Conservative,0.095,-0.158578770403099,0.2,0.2,-0.00010840556952103922,0.04463324343448367,0.6933442690695049
A109820,진매트릭스,Base,0.08,-0.148578770403099,0.25,0.25,-0.0001521141508165731,0.049669714822839266,0.6933442690695049
A109820,진매트릭스,Optimistic,0.065,-0.138578770403099,0.3,0.3,-0.00020736018157186705,0.05574369196064257,0.6933442690695049
A261780,차백신연구소,Conservative,0.095,0.04,0.2,0.2,-0.001267804327708611,-0.06236007291380704,0.5601141952910822
A261780,차백신연구소,Base,0.08,0.05,0.25,0.25,-0.0029333213111046594,-0.15253930612030456,0.5601141952910822
A261780,차백신연구소,Optimistic,0.065,0.05,0.3,0.3,-0.007039971146651183,-0.32721776743556075,0.5601141952910822
A284620,카이노스메드,Conservative,0.095,-0.04086533491955157,0.2,0.2,-0.0007985630953225052,0.008074249453043218,0.3316542190775681
A284620,카이노스메드,Base,0.08,-0.030865334919551568,0.25,0.25,-0.0012360518242173588,0.0071198222786551,0.3316542190775681
A284620,카이노스메드,Optimistic,0.065,-0.020865334919551566,0.3,0.3,-0.001934880418070361,0.005081675552689646,0.3316542190775681
A217600,켐온,Conservative,0.095,0.04,0.25,0.25,0.00032352160386578453,,0.30321530321530316
A217600,켐온,Base,0.08,0.05,0.3,0.3,0.0007185912547403484,,0.30321530321530316
A217600,켐온,Optimistic,0.065,0.05,0.35,0.35,0.0016767129277274796,,0.30321530321530316
A365270,큐라클,Conservative,0.095,0.04,0.25,0.25,-0.0033742500700408113,-0.15456542573459575,0.5486815382599581
A365270,큐라클,Base,0.08,0.05,0.3,0.3,-0.007494728520956033,-0.3722992591828184,0.5486815382599581
A365270,큐라클,Optimistic,0.065,0.05,0.35,0.35,-0.017487699882230746,-0.7989232852905284,0.5486815382599581
A348080,큐라티스,Conservative,0.095,0.04,0.25,0.25,-0.002788039419379066,-0.0454017523139975,0.48555379172714075
A348080,큐라티스,Base,0.08,0.05,0.3,0.3,-0.00619266447958235,-0.10861655848087524,0.48555379172714075
A348080,큐라티스,Optimistic,0.065,0.05,0.35,0.35,-0.014449550452358816,-0.2330749099832226,0.48555379172714075
A372320,큐로셀,Conservative,0.095,-1.01,0.25,0.25,6.760794988074062e-06,0.25022542464407993,0.3065259887518142
A372320,큐로셀,Base,0.08,-1.0,0.3,0.3,-0.0,0.2715664122283566,0.3065259887518142
A372320,큐로셀,Optimistic,0.065,-0.99,0.35,0.35,-9.913696537014762e-06,0.29515530032679,0.3065259887518142
A115180,큐리언트,Conservative,0.095,-0.04070316194331768,0.25,0.25,-0.0016195430380992084,0.03123063831041547,0.39598572810836963
A115180,큐리언트,Base,0.08,-0.03070316194331768,0.3,0.3,-0.0024071738902485392,0.029482205307581003,0.39598572810836963
A115180,큐리언트,Optimistic,0.065,-0.02070316194331768,0.35,0.35,-0.003665008535237497,0.024931367297279638,0.39598572810836963
A199800,툴젠,Conservative,0.095,0.04,0.2,0.2,-0.012927141162901673,-0.2593713433112357,0.49275023685695857
A199800,툴젠,Base,0.08,0.05,0.25,0.25,-0.02990955136849245,-0.5975855061682168,0.49275023685695857
A199800,툴젠,Optimistic,0.065,0.05,0.3,0.3,-0.07178292328438188,-1.2858952947305002,0.49275023685695857
A321550,티움바이오,Conservative,0.095,0.04,0.25,0.25,-0.0052227722300672045,-0.1382279214863271,0.438121875503951
A321550,티움바이오,Base,0.08,0.05,0.3,0.3,-0.011600580626399272,-0.3354542240567503,0.438121875503951
A321550,티움바이오,Optimistic,0.065,0.05,0.35,0.35,-0.0270680214615983,-0.7196186483834258,0.438121875503951
A388870,파로스아이바이오,Conservative,0.095,-1.01,0.25,0.25,3.3502071545352224e-06,0.12683557970902606,0.36270047169811326
A388870,파로스아이바이오,Base,0.08,-1.0,0.3,0.3,-0.0,0.13765559805565228,0.36270047169811326
A388870,파로스아이바이오,Optimistic,0.065,-0.99,0.35,0.35,-4.9125786427165784e-06,0.14961274401402344,0.36270047169811326
A950210,프레스티지바이오파마,Conservative,0.095,-0.3880727538552262,0.2,0.2,-0.0003115406199016876,0.46274118602832676,0.493009981588991
A950210,프레스티지바이오파마,Base,0.08,-0.3780727538552262,0.25,0.25,-0.0004173905074933995,0.5093361357138307,0.493009981588991
A950210,프레스티지바이오파마,Optimistic,0.065,-0.3680727538552262,0.3,0.3,-0.0005383006578351953,0.5624563346663335,0.493009981588991
A468530,프로티나,Conservative,0.095,0.04,0.2,0.25,-0.0584413292143332,,0.1961298076923077
A468530,프로티나,Base,0.08,0.05,0.25,0.3,-0.13521581579037428,,0.1961298076923077
A468530,프로티나,Optimistic,0.065,0.05,0.3,0.35,-0.32451795789689825,,0.1961298076923077
A084990,헬릭스미스,Conservative,0.095,-0.013675840365519401,0.2,0.2,-0.0019718032802264482,0.01689127730412214,0.5903536223996129
A084990,헬릭스미스,Base,0.08,-0.0036758403655194,0.25,0.25,-0.0032336090574229116,-0.0020543288798731507,0.5903536223996129
A084990,헬릭스미스,Optimistic,0.065,0.0063241596344806,0.3,0.3,-0.005589162811987156,-0.042078618366159164,0.5903536223996129
A187660,현대ADM,Conservative,0.095,0.006741158667885801,0.2,0.2,-5.9034627253345826e-05,-0.0062252536156276244,0.43852618097311497
A187660,현대ADM,Base,0.08,0.0167411586678858,0.25,0.25,-0.0001039791846180028,-0.022672132979922016,0.43852618097311497
A187660,현대ADM,Optimistic,0.065,0.026741158667885803,0.3,0.3,-0.00020833759210977238,-0.06389924635489622,0.43852618097311497
A079160,CJ CGV,Conservative,0.095,0.04,0.2,0.2,-0.006967057506152383,-0.10702639422496821,0.4467238317238317
A079160,CJ CGV,Base,0.08,0.05,0.25,0.25,-0.016119694350172277,-0.25863216289693514,0.4467238317238317
