Symbol,Name,FCF_z,PBR_z,PER_z,ROA_z,ROE_z,ROIC_z,매출총이익률_z,영업이익률_z,총자산회전율_z,CFO_NI_z,Accruals_z,SalesGrowth_z,EBITGrowth_z,부채비율_z,이자보상배율_z,NIGrowth_z,SalesCAGR3Y_z,EV_EBITDA_z,유동비율_z,F_Score_z,FinalScore
A357550,석경에이티,,1.0754001581492136,0.28408428149323295,0.7060937827887238,0.25311339191912147,0.49076575715677,2.138684348762446,1.1545655393147627,-1.066111023602904,0.11052952839949907,-0.05948028838636573,0.22104403153008598,0.14101069305182878,-0.4111905985727016,-0.09125114410681812,0.10295503707299936,0.5510766231708236,0.23170961113467356,3.3560284475875357,1.3325198244240637,0.5537656842782627
A357580,아모센스,,0.7691008757734378,,-0.15062603604514532,-0.094626923910889,-0.012080900379262386,0.11935784016983757,0.14595816135142067,-0.034419037144137805,0.24067671887244688,0.06891409974725005,0.3785172391684077,0.31179052042223493,0.39634047064769423,-0.14935672366959452,0.056652539569954384,0.33251220165591133,-4.6923064132814405,-0.350053975301023,-0.29780507970620035,-0.16452524566994986
A357780,솔브레인,0.04823043826973639,0.1798640669473054,-0.24449831648335782,1.09651872395866,0.4380624473936053,0.7383245120692273,0.06899933804838115,0.6284457512987424,0.6160136437843574,0.11353910894865206,-0.18324294043250164,0.5217827547576026,0.10565476498090333,-0.3792315017321158,-0.05398386270376857,0.08000535184817299,0.566883280871115,-0.028865349080090513,0.4966988568754018,0.09188227924812681,0.24505416744340777
A357880,SKAI,,-0.014026859854338014,0.039081003469461924,-0.18225770045226442,-0.3685637017795948,-0.13743422117916623,1.0676829980980227,0.12715942072078382,-0.36869936353207805,-0.2532115565332819,0.0691828559002078,0.09058516115235225,-0.17040883105953095,0.46718179663100584,-0.35279226628351656,0.9153964661737354,0.020598970740665006,0.21183433382878045,1.6079634502640825,-0.8357849356185101,0.10176247477299037
A358570,지아이이노베이션,,0.12524523638743854,,-1.3618096160556494,-1.2887887114036236,-0.1819566533418914,1.0470585219465598,0.14308779296051283,-0.5687518251632193,-0.054191262870320056,-1.4171314224040545,-0.21761549521105597,0.10687143454554891,-0.5442190535564276,,-0.03950142557820824,,0.3564375505854592,0.4000774191523866,-0.4814957110536822,-0.24854270131626416
A359090,씨엔알리서치,,-0.1324766880718602,-0.12349299669370647,0.12359210800689108,0.07620437339755466,0.3808035996316572,2.8919302942560994,0.35196690854658524,0.5866341558433142,-0.17373615894959382,0.4508070361904102,0.05414283110811894,-0.0589789975369485,0.1164136403700141,-0.32653193291963756,0.11986244857729622,0.08852238602797204,-0.03802205132005001,-0.5263763712745021,-0.3172863619760568,0.18652516964281884
A360070,탑머티리얼,,0.16554772347151936,-0.2957453766753035,1.1835844240520332,0.6781730236497122,1.7327523971177685,0.5064350711083233,0.6489445770447008,0.2676966143406085,0.12445594436061108,-0.1348680849865182,1.5949913631791892,0.9928757766671162,-0.7802715743612141,-0.11556848850065922,1.2233739479674568,3.3193430604203984,-0.004087406778147322,1.4629180981342946,-0.2684120464001652,0.6474810023058802
A360350,코셈,,,,0.5050190141714915,0.35508296001550615,0.41527637800574296,0.37325324540880517,0.23981868165175232,0.8750842378148391,-0.07744963104893536,0.15093519173325212,-0.03322919024002229,0.20180177266498625,-0.19730094422597622,-0.14118568270118,0.05715642056439649,0.0012211316131280547,0.001859279781134526,0.5102447228134207,-0.1295857733864445,0.1828236361550528
A361390,제노코,,0.9371705000256424,0.08865337452482669,0.40459786140537696,0.18374445202925038,0.351642231084174,-0.3430601324244771,0.30539692217002695,0.06316775262149245,0.08134941586093465,0.06661668570888352,0.13534955158882148,0.10269901785592057,-0.037707120238421606,-0.13736834585205393,0.07165418832960824,0.3113010574395991,0.1518473228049584,-0.3523332305863982,0.07583767651803967,0.12950311478243182
A361570,알비더블유,,-0.4187948616175299,1.3852102682979277,0.36913960925614736,0.3287807556341097,-0.061298473559852254,-0.3421941109736794,0.5487405576242355,-0.03585342156771035,0.05877134914550076,0.349959103696867,0.07390840690926359,-0.2679542245895044,-0.2538122247223164,-0.2840396682808967,-0.534128214208937,0.7258873223489019,0.23275387940040368,-0.6114577714530666,-0.613552665963483,0.03421397975665163
A361610,SK아이이테크놀로지,-0.8411913894123567,0.11243546150393875,0.18657845648443833,-0.020527152647402475,0.02795308882652056,-0.1560324778468629,0.27021082803558527,0.06207681177303093,-1.304394926014468,0.15203544005548797,0.10898666978993828,-0.15343029267512678,-0.18978177444343589,-0.49075191129102896,-0.20909798619463194,-0.358546828299168,-0.2479292106390793,0.37874605020200575,-0.2066829429459112,-0.8341837355921561,-0.18567639106653414
A361670,삼영에스앤씨,,-0.094522959213732,,-0.26820543853139533,-0.0007417762223754393,-0.5854049248478994,-0.10298221296495856,-0.23511115456919174,-0.6795521780975246,-0.09247303764088156,0.06438294585351449,-0.293681950641013,0.11225283139208447,-0.46101689518378364,,0.09834797624375428,-0.3883240877065533,0.14001515222099298,1.8257097381857612,-0.6776857562747466,-0.09641139576458517
A362320,청담글로벌,-0.24961948130388995,0.8619173408218249,0.14366568143806321,0.4183570876024519,0.36923009320118344,0.08960752655346604,-0.7135247717615357,0.22877794797809622,2.1803312786182727,-0.07904042803026164,-0.09987427273848132,0.7001698624075869,-0.05571966968518322,-0.19761854824573563,-0.2157288124274126,0.1123840308766758,2.0105021471055715,0.10587129297802556,0.13401454740320715,-1.0917445535353911,0.2325979149628267
A362990,드림인사이트,,,,1.1267826370524376,1.1248107388371151,0.602170920763875,2.1542232191038213,1.0035660602252785,-0.3128093719658747,0.5401190323356299,-0.2598736420589608,0.04763786037158523,0.08356999140564457,-0.43204462145173905,-0.12903486708413323,0.09271806383392474,-0.0008325070265078402,-0.15162364041456838,-0.20037382936117323,-0.10877348602903368,0.3047195622669013
A363250,진시스템,,-0.32531119666776004,-0.31217490181029717,-0.1811304569791304,0.04008301507689008,-0.6985983929978333,-1.6991560779915549,-0.8556102002235909,-1.1664143910674651,-0.04355158587867025,0.1299966695163174,-0.8923756339661825,-0.035980024118230834,-0.2092054276847989,-0.28740859515154304,-0.4531680475700699,-1.218432661748853,0.030961557370988064,2.6553707492367855,-1.2320289084803344,-0.3554807637439649
A363260,모비데이즈,,2.4340618840073427,,-0.45637371590405623,0.11976585856393553,4.114011840056937,1.9597535781101063,1.5784100638720364,-1.152863550649964,2.8673470111184343,-0.25216164573102634,0.07054852008249439,0.03940621363847025,0.617216739415881,-0.08155881689209371,-0.08247075325910876,-0.43749700670384684,-0.026681368404055883,-0.31276303651047366,-0.5317908636913207,0.5814644972844273
A363280,티와이홀딩스,-0.2557368211572942,-0.3751926304782316,-0.2942611969999967,-0.8414958945050492,-1.148141033053096,-1.3329326540223276,0.048075720677769405,-2.5372288462238894,-1.571453177358246,-0.2440052994156818,-0.780504724334366,-0.7958839812223881,-0.29762819070619184,-0.23529949996398047,-0.14272067264525623,-0.40511942572177473,-0.38308401758473876,0.040938350335086214,-0.5467849339946749,-0.21237973210133965,-0.6155419330237835
A364950,에이아이코리아,,,,0.4646784614026132,0.39062176181472563,0.37900748893408936,-0.23834827116168134,0.19646009900843633,1.5146621347981162,0.18340563352136438,-0.08054833951959706,0.4611139098480477,-0.0114144930445124,0.024717241753741803,-0.11859131779732494,0.15134851894245663,0.6889191476498789,-0.03657648618107226,-0.27875715229777537,-0.08172046927332037,0.21229281578812859
